name,id,shortDesc,actions,castType,sourceBook,PFSnote,levelreq,traditions/0,traditions/1,traditions/2,traditions/3,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,traits/7,cost,inputRequired,internalNote,range,area,targets,target,singleTarget,allowReturnFocusPoint,requirements,trigger,sustained,duration,desc,savingThrow,critsuccess,success,failure,critfailure,showSpells/0/level,showSpells/0/name,heightened/0/desc,heightened/0/level,heightened/1/desc,heightened/1/level,heightened/2/desc,heightened/2/level,heightened/3/desc,heightened/3/level,heightened/4/desc,heightened/4/level,heightened/5/desc,heightened/5/level,heightened/6/desc,heightened/6/level,heightened/7/desc,heightened/7/level,heightened/8/desc,heightened/8/level,gainConditions/0/duration,gainConditions/0/heightenedFilter,gainConditions/0/name,gainConditions/0/source,gainConditions/0/targetFilter,gainConditions/0/value,gainConditions/1/duration,gainConditions/1/heightenedFilter,gainConditions/1/name,gainConditions/1/source,gainConditions/1/targetFilter,gainConditions/1/value,gainConditions/2/duration,gainConditions/2/heightenedFilter,gainConditions/2/name,gainConditions/2/source,gainConditions/2/targetFilter,gainConditions/2/value,gainConditions/3/duration,gainConditions/3/heightenedFilter,gainConditions/3/name,gainConditions/3/source,gainConditions/3/targetFilter,gainConditions/3/value,gainConditions/4/duration,gainConditions/4/heightenedFilter,gainConditions/4/name,gainConditions/4/source,gainConditions/4/value,gainConditions/5/duration,gainConditions/5/heightenedFilter,gainConditions/5/name,gainConditions/5/source,gainConditions/5/value,gainItems/0/expiration,gainItems/0/heightenedFilter,gainItems/0/name,gainItems/0/type,gainItems/1/expiration,gainItems/1/heightenedFilter,gainItems/1/name,gainItems/1/type,gainItems/2/expiration,gainItems/2/heightenedFilter,gainItems/2/name,gainItems/2/type,gainItems/3/expiration,gainItems/3/heightenedFilter,gainItems/3/name,gainItems/3/type,gainItems/4/expiration,gainItems/4/heightenedFilter,gainItems/4/name,gainItems/4/type,desc1/0/value,desc1/0/variable,desc1/1/value,desc1/1/variable,desc1/2/value,desc1/2/variable,desc2/0/value,desc2/0/variable,desc2/1/value,desc2/1/variable,desc2/2/value,desc2/2/variable,desc2/3/value,desc2/3/variable,desc2/4/value,desc2/4/variable,desc2/5/value,desc2/5/variable,desc2/6/value,desc2/6/variable,desc2/7/value,desc2/7/variable,desc2/8/value,desc2/8/variable,desc3/0/value,desc3/0/variable,desc3/1/value,desc3/1/variable,desc3/2/value,desc3/2/variable,desc3/3/value,desc3/3/variable,desc3/4/value,desc3/4/variable,desc3/5/value,desc3/5/variable,desc3/6/value,desc3/6/variable,desc3/7/value,desc3/7/variable,desc3/8/value,desc3/8/variable,desc4/0/value,desc4/0/variable,desc4/1/value,desc4/1/variable,desc4/2/value,desc4/2/variable,desc4/3/value,desc4/3/variable,desc4/4/value,desc4/4/variable,desc4/5/value,desc4/5/variable,desc4/6/value,desc4/6/variable,desc4/7/value,desc4/7/variable,desc4/8/value,desc4/8/variable,desc4/9/value,desc4/9/variable,desc4/10/value,desc4/10/variable,desc4/11/value,desc4/11/variable,desc5/0/value,desc5/0/variable,desc5/1/value,desc5/1/variable,desc5/2/value,desc5/2/variable,desc5/3/value,desc5/3/variable,desc5/4/value,desc5/4/variable,desc5/5/value,desc5/5/variable,desc5/6/value,desc5/6/variable,desc5/7/value,desc5/7/variable,desc5/8/value,desc5/8/variable,desc5/9/value,desc5/9/variable,desc5/10/value,desc5/10/variable,desc5/11/value,desc5/11/variable,desc6/0/value,desc6/0/variable,desc6/1/value,desc6/1/variable,desc6/2/value,desc6/2/variable,desc6/3/value,desc6/3/variable,desc6/4/value,desc6/4/variable,desc6/5/value,desc6/5/variable,desc6/6/value,desc6/6/variable,desc6/7/value,desc6/7/variable,desc6/8/value,desc6/8/variable,desc6/9/value,desc6/9/variable,desc6/10/value,desc6/10/variable,desc7/0/value,desc7/0/variable,desc7/1/value,desc7/1/variable,desc7/2/value,desc7/2/variable,desc7/3/value,desc7/3/variable,desc7/4/value,desc7/4/variable,desc7/5/value,desc7/5/variable,desc7/6/value,desc7/6/variable,desc7/7/value,desc7/7/variable,desc7/8/value,desc7/8/variable,desc7/9/value,desc7/9/variable,desc7/10/value,desc7/10/variable,desc7/11/value,desc7/11/variable,desc8/0/value,desc8/0/variable,desc8/1/value,desc8/1/variable,desc8/2/value,desc8/2/variable,desc8/3/value,desc8/3/variable,desc9/0/value,desc9/0/variable,desc9/1/value,desc9/1/variable,desc9/2/value,desc9/2/variable,desc9/3/value,desc9/3/variable,desc10/0/value,desc10/0/variable,desc10/1/value,desc10/1/variable,desc10/2/value,desc10/2/variable,desc10/3/value,desc10/3/variable
Clairaudience,29ee6768-9122-11ea-bb37-0242ac130002,Hear through an invisible magical sensor.,1 minute,"material, somatic, verbal",,,3,Arcane,Occult,,,Divination,Scrying,,,,,,,,,,500 feet,,,self,,,,,,10 minutes,"You create an invisible floating ear at a location within range (even if it's outside your line of sight or line of effect). It can't move, but you can hear through the ear as if using your normal auditory senses.",,,,,,,,,,,,,,,,,,,,,,,,,,1000,,Clairaudience,Clairaudience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crisis of Faith,29ee681c-9122-11ea-bb37-0242ac130002,Cause mental damage and possibly make a worshipper unable to cast spells.,2A,"somatic, verbal",,,3,Divine,,,,Enchantment,Mental,,,,,,,,,,30 feet,,1 creature,,TRUE,,,,,,"You assault the target's faith, riddling the creature with doubt and mental turmoil that deal <var>var1</var> mental damage, or <var>var2</var> mental damage if it can cast divine spells. The effects are determined by its Will save.

To many deities, casting this spell on a follower of your own deity without significant cause is anathema.",Will,The target is unaffected.,The target takes half damage.,"The target takes full damage; if the target can cast divine spells, it's stupefied 1 for 1 round.","The target takes double damage, is stupefied 1 for 1 round, and can't cast divine spells for 1 round.",,,The damage increases by 2d6 (or by 2d8 if the target is a divine spellcaster).,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d6,var1,6d8,var2,,,,,,,,,,,,,,,8d6,var1,8d8,var2,,,,,,,,,,,,,,,,,,,,,10d6,var1,10d8,var2,,,,,,,,,,,,,,,,,,,,,12d6,var1,12d8,var2,,,,,,,,,,,,,,,,,,,14d6,var1,14d8,var2,,,,,,,,,,,,,,,,,,,,,16d6,var1,16d8,var2,,,,,18d6,var1,18d8,var2,,,,,20d6,var1,20d8,var2,,,,
Cup of Dust,29ee68d0-9122-11ea-bb37-0242ac130002,You curse the target with a thirst no drink can quench.,3A,"material, somatic, verbal",Gods & Magic,,3,Arcane,Occult,Primal,,Curse,Necromancy,,,,,,,,,,30 feet,,1 living creature,,TRUE,,,,,1 day,You curse the target with a thirst no drink can quench. You can Dismiss the spell. The target must attempt a Fortitude save.,Fortitude,The creature is unaffected and is temporarily immune for 1 hour.,The creature is fatigued for 1 round.,The creature is immediately afflicted by thirst as if it hadn't had a drink in days. It becomes fatigued and takes <var>var1</var> damage each hour that can't be healed until it quenches its thirst. No amount of drinking can quench the creature's thirst during the spell's duration.,"As failure but the creature takes <var>var2</var> damage each hour, twice as much as usual for thirst.",,,"The thirst becomes more unbearable, increasing the damage each hour by 1d4, or by 2d4 on a critical failure.",(+3),,,,,,,,,,,,,,,,,144000,,Cup of Dust (Caster),Cup of Dust,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d4,var1,2d4,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d4,var1,4d4,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d4,var1,6d4,var2,,,,,,,,,,,,
Dream Message,29ee698e-9122-11ea-bb37-0242ac130002,Send a message that arrives in a dream.,10 minutes,"somatic, verbal",,,3,Arcane,Occult,Divine,,Enchantment,Mental,,,,,,,,,,planetary,,1 creature you know by name and have met in person,ally,TRUE,,,,,1 day,"<var>var1</var>You send a message to your target's dream. The message is one-way, up to 1 minute of speech (roughly 150 words). If the target is asleep, they receive the message instantly. If not, they receive it the next time they sleep. As soon as they receive it, the spell ends, and you know the message was sent.<var>var2</var>",,,,,,,,You can target up to 10 creatures you know by name and have met in person. You must send the same message to all of them; the spell ends for each creature individually.,(4th),,,,,,,,,,,,,,,,,144000,,Dream Message,Dream Message,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,var2,,,,,,,,,,,,,,,You can target up to 10 creatures you know by name and have met in person. ,var1, You must send the same message to all targets; the spell ends for each creature individually.,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthbind,29ee6a4c-9122-11ea-bb37-0242ac130002,Bring a flying creature to the ground.,2A,"somatic, verbal",,,3,Arcane,Primal,,,Transmutation,,,,,,,,,,,120 feet,,1 flying creature,,TRUE,,,,,varies,"Using the weight of earth, you hamper a target's flight, with effects based on its Fortitude save. If the creature reaches the ground safely, it doesn't take falling damage.",Fortitude,The target is unaffected.,The target falls safely up to 120 feet.,"The target falls safely up to 120 feet. If it hits the ground, it can't Fly, levitate, or otherwise leave the ground for 1 round.","The target falls safely up to 120 feet. If it hits the ground, it can't Fly, levitate, or otherwise leave the ground for 1 minute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enthrall,29ee6b00-9122-11ea-bb37-0242ac130002,Your speech makes creatures fascinated with you.,2A,"somatic, verbal",,,3,Arcane,Occult,,,Auditory,Emotion,Enchantment,,,,,,,,,120 feet,,all creatures in range,,,,,,1000,sustained,"Your words fascinate your targets. You speak or sing without interruption throughout the casting and duration. Targets who notice your speech or song might give their undivided attention; each target must attempt a Will save. The GM might grant a circumstance bonus (to a maximum of +4) if the target is of an opposing religion, ancestry, or political leaning, or is otherwise unlikely to agree with what you're saying.

Each creature that comes within range has to attempt a save when you Sustain the Spell. If you're speaking, enthrall gains the linguistic trait.",Will,The target is unaffected and notices that you tried to use magic.,The target needn't pay attention but doesn't notice you tried to use magic (it might notice others are enthralled).,"The target is fascinated with you. It can attempt another Will save if it witnesses actions or speech with which it disagrees. If it succeeds, it's no longer fascinated and is temporarily immune for 1 hour. If the target is subject to a hostile act, or if another creature succeeds at a Diplomacy or Intimidation check against it, the fascination ends immediately.","As failure, but the target can't attempt a save to end the fascination if it disagrees with you.",,,,,,,,,,,,,,,,,,,,,1000,,Enthrall (Caster),Enthrall,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet to Fins,29ee6d58-9122-11ea-bb37-0242ac130002,"Turn a creature's feet into fins, enabling it swim but slowing it on land.",2A,"somatic, verbal",,,3,Arcane,Primal,,,Morph,Transmutation,,,,,,,,,,touch,,1 willing creature,ally,TRUE,,,,,10 minutes,"<var>var1</var>The target's feet transform into fins, improving mobility in the water but reducing it on land. The target gains a swim Speed equal to its normal land Speed, but its land Speed becomes 5 feet.",,,,,,,,The spell lasts until the next time you make your daily preparations.,(6th),,,,,,,,,,,,,,,,,1000,3,Feet to Fins,Feet to Fins,,,-2,6,Feet to Fins,Feet to Fins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The spell lasts until the next time you make your daily preparations. ,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireball,29ee6e2a-9122-11ea-bb37-0242ac130002,An explosion of fire in an area burns creatures.,2A,"somatic, verbal",,,3,Arcane,Primal,,,Evocation,Fire,,,,,,,,,,500 feet,20-foot burst,,,,,,,,,"A roaring blast of fire appears at a spot you designate, dealing <var>var1</var> fire damage.",basic Reflex,,,,,,,The damage increases by 2d6.,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d6,var1,,,,,,,,,,,,,,,,,8d6,var1,,,,,,,,,,,,,,,,,,,,,,,10d6,var1,,,,,,,,,,,,,,,,,,,,,,,12d6,var1,,,,,,,,,,,,,,,,,,,,,14d6,var1,,,,,,,,,,,,,,,,,,,,,,,16d6,var1,,,,,,,18d6,var1,,,,,,,20d6,var1,,,,,,
Ghostly Weapon,29ee6ee8-9122-11ea-bb37-0242ac130002,Make a weapon affect incorporeal creatures.,2A,"somatic, verbal",,,3,Arcane,Occult,,,Transmutation,,,,,,,,,,,touch,,1 non-magical weapon that is either unattended or wielded by you or a willing ally,ally,,,,,,5 minutes,"The target weapon becomes translucent and ghostly, and it can affect material and incorporeal creatures and objects. It can be wielded by a corporeal or incorporeal creature and gains the effects of the ghost touch property rune.",,,,,,,,,,,,,,,,,,,,,,,,,,500,,Ghostly Weapon,Ghostly Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glyph of Warding,29ee6f9c-9122-11ea-bb37-0242ac130002,Store a spell in a symbol to make a trap.,10 minutes,"material, somatic, verbal",,,3,Arcane,Occult,Divine,Primal,Abjuration,,,,,,,,,,,touch,,1 container or a 10-foot-by-10-foot area,self,,,,,,unlimited,"You craft a trap by binding a hostile spell into a symbol. While Casting this Spell, you also Cast a Spell of a lower spell level to store in the glyph. The stored spell must take 3 actions or fewer to cast, have a hostile effect, and target one creature or have an area. You can set a password, a trigger, or both for the glyph. Any creature that moves, opens, or touches the target container or enters the target area that doesn't speak the password or that matches the trigger activates the glyph, releasing the harmful spell within.

Once a spell is stored in the glyph, the glyph gains all the traits of that spell. If the stored spell targets one or more creatures, it targets the creature that set off the glyph. If it has an area, that area is centered on the creature that set off the glyph. Glyph of warding's duration ends when the glyph is triggered. The glyph counts as a magical trap, using your spell DC for both the Perception check to notice it and the Thievery check to disable it; both checks require the creature attempting them to be trained in order to succeed.

You can Dismiss glyph of warding. The maximum number of glyphs of warding you can have active at a time is equal to your spellcasting ability modifier.",,,,,,,,,,,,,,,,,,,,,,,,,,-1,,Glyph of Warding,Glyph of Warding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity Well,29ee7064-9122-11ea-bb37-0242ac130002,You create a sphere of altered gravity.,2A,"somatic, verbal",Gods & Magic,,3,Arcane,Occult,,,Evocation,,,,,,,,,,,120 feet,30-foot radius burst,,,,,,,,,"You create a sphere of altered gravity. All creatures and unsecured objects in the area move towards the center, depending on their Reflex saving throws. This follows the rules for forced movement. If there's not enough space near the center of the sphere, creatures and objects nearer to the center move first, and others move as far as they can without being blocked, up to the amount set by their saving throw outcomes.",Reflex,The creature is unaffected.,The creature moves 5 feet toward the center.,The creature moves 15 feet toward the center.,The creature moves 30 feet toward the center.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haste,29ee7118-9122-11ea-bb37-0242ac130002,Speed up a creature so it can attack or move more often.,2A,"somatic, verbal",,,3,Arcane,Occult,Primal,,Transmutation,,,,,,,,,,,30 feet,,1 creature,ally,TRUE,,,,,1 minute,<var>var1</var>Magic empowers the target to act faster. It gains the quickened condition and can use the extra action each round only for Strike and Stride actions.,,,,,,,,You can target up to 6 creatures.,(7th),,,,,,,,,,,,,,,,,100,,Haste,Haste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You can target up to 6 creatures. ,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heroism,29ee71d6-9122-11ea-bb37-0242ac130002,Stoke a creature's inner heroism to make it more competent.,2A,"somatic, verbal",,,3,Occult,Divine,,,Enchantment,Mental,,,,,,,,,,touch,,1 humanoid creature,ally,TRUE,,,,,10 minutes,"You tap into the target's inner heroism, granting it a <var>var1</var> status bonus to attack rolls, Perception checks, saving throws, and skill checks.",,,,,,,,The status bonus increases to +2.,(6th),The status bonus increases to +3.,(9th),,,,,,,,,,,,,,,1000,3,Heroism,Heroism,,1,1000,6,Heroism,Heroism,,2,1000,9,Heroism,Heroism,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3,var1,,,,,,,,,,,,,,
Hypercognition,29ee7294-9122-11ea-bb37-0242ac130002,Recall massive amounts of information in an instant.,1A,verbal,,,3,Occult,,,,Divination,,,,,,,,,,,,,,self,,,,,,,"You rapidly catalog and collate information relevant to your current situation. You can instantly use up to 6 Recall Knowledge actions as part of Casting this Spell. For these actions, you can't use any special abilities, reactions, or free actions that trigger when you Recall Knowledge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypnotic Pattern,29ee75d2-9122-11ea-bb37-0242ac130002,Shifting colors dazzle and fascinate creatures.,2A,"material, somatic",,,3,Arcane,Occult,,,Illusion,Visual,,,,,,,,,,120 feet,10-foot burst,,,,,,,100,sustained up to 1 minute,"You create a pattern of shifting colors that hovers in the air in a geometric cloud. Creatures are dazzled while inside the pattern. In addition, a creature must attempt a Will saving throw if it is inside the pattern when you cast it, when it enters the pattern, when it ends its turn within the pattern, or if it uses a Seek or Interact action on the pattern. A creature currently fascinated by the pattern doesn't attempt new saves.",Will,,The target is unaffected.,The target is fascinated by the pattern.,"The target is fascinated by the pattern. While it remains fascinated, it can't use reactions.",,,,,,,,,,,,,,,,,,,,,100,,Hypnotic Pattern,Hypnotic Pattern,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insect Form,29ee7708-9122-11ea-bb37-0242ac130002,Turn into a dangerous giant insect.,2A,"somatic, verbal",,,3,Primal,,,,Polymorph,Transmutation,,,,,,,,,,,,,self,,,,,,1 minute,"You envision a simple bug and transform into a <var>var1</var> animal battle form.<var>var8</var> When you cast this spell, choose ant, beetle, centipede, mantis, scorpion, or spider. You can decide the specific type of animal (such as such as a ladybug or scarab for beetle), but this has no effect on the form's Size or statistics. While in this form, you gain the animal trait. You can Dismiss this spell.

You gain the following statistics and abilities regardless of which battle form you choose:

AC = 18 + your level. Ignore your armor's check penalty and Speed reduction.
<var>var2</var> temporary Hit Points.
Low-light vision.
One or more attacks specific to the battle form you choose, which are the only attacks you can use. You're trained with them. Your attack modifier is <var>var3</var>, and your damage bonus is <var>var4</var>. These attacks are Strength based (for the purpose of the enfeebled condition). If your unarmed attack modifier is higher, you can use it instead.
Athletics modifier of <var>var5</var>, unless your own is higher.

You also gain specific abilities based on the type of animal you choose:

<strong>Ant</strong> Speed 30 feet, climb Speed 30 feet; <strong>Melee</strong> mandibles, <strong>Damage</strong> <var>var6</var>d6 bludgeoning.
<strong>Beetle</strong> Speed 25 feet; <strong>Melee</strong> mandibles, <strong>Damage</strong> <var>var6</var>d10 bludgeoning.
<strong>Centipede</strong> Speed 25 feet, climb Speed 25 feet; darkvision; <strong>Melee</strong> mandible, <strong>Damage</strong> <var>var7</var>d8 piercing plus <var>var7</var>d4 persistent poison.
<strong>Mantis</strong> Speed 40 feet; imprecise scent 30 feet; <strong>Melee</strong> foreleg, <strong>Damage</strong> <var>var6</var>d8 piercing.
<strong>Scorpion</strong> Speed 40 feet; darkvision, imprecise tremorsense 60 feet; <strong>Melee</strong> stinger, <strong>Damage</strong> <var>var7</var>d8 piercing plus <var>var7</var>d4 persistent poison; <strong>Melee</strong> pincer (agile), <strong>Damage</strong> <var>var7</var>d6 bludgeoning.
<strong>Spider</strong> Speed 25 feet, climb Speed 25 feet; darkvision; <strong>Melee</strong> fangs, <strong>Damage</strong> <var>var7</var>d6 piercing plus <var>var7</var>d4 persistent poison; <strong>Ranged</strong> web (range increment 20 feet), <strong>Damage</strong> entangles the target for 1 round.",,,,,,,,"Your battle form is Large, and your attacks have 10-foot reach. You must have enough space to expand into or the spell is lost. You instead gain 15 temporary HP, attack modifier +16, damage bonus +6, and Athletics +16.",(4th),"Your battle form is Huge, and your attacks have 15-foot reach. You must have enough space to expand into or the spell is lost. You instead gain 20 temporary HP, attack modifier +18, damage bonus +2 and double damage dice (including persistent damage), and Athletics +20.",(5th),,,,,,,,,,,,,,,100,3,Insect Form (3rd Level),Insect Form,,,100,4,Insect Form (4th Level),Insect Form,,,100,5,Insect Form (5th Level),Insect Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,var1,10,var2,+13,var3,+2,var4,+13,var5,2,var6,1,var7,,,,,Large,var1,15,var2,+16,var3,+6. Your attacks have 10-foot reach,var4,+16,var5,2,var6,1,var7, You must have enough space to expand into or the spell is lost.,var8,,,,,,,,,Huge,var1,20,var2,+18,var3,+2 with double damage dice (including persistent damage). Your attacks have 15-foot reach,var4,+20,var5,4,var6,2,var7, You must have enough space to expand into or the spell is lost.,var8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invisibility Sphere,29ee77d0-9122-11ea-bb37-0242ac130002,You and creatures near you become invisible as you explore.,2A,"material, somatic",,,3,Arcane,Occult,,,Illusion,,,,,,,,,,,,10-foot emanation,you and any number of creatures in range,self,,,,,,10 minutes,"<var>var1</var>You and all targets are invisible except to each other as long as you remain within the spell's area. If a creature made invisible by this spell leaves the spell's area, it becomes visible and remains so even if it returns to the spell's area. If any creature made invisible by this spell uses a hostile action, the spell ends after the hostile action is completed.

While exploring, it's easy to move together slowly and remain invisible. This is untenable in a battle, however. Once an encounter begins, creatures remain invisible until at most the end of the first round, at which point the spell ends.",,,,,,,,The duration increases to 1 hour.,(5th),,,,,,,,,,,,,,,,,1000,3,Invisibility Sphere,Invisibility Sphere,,,6000,5,Invisibility Sphere,Invisibility Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The duration increases to 1 hour. ,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levitate,29ee788e-9122-11ea-bb37-0242ac130002,Float an object or creature a few feet of the ground.,2A,"somatic, verbal",,,3,Arcane,Occult,,,Evocation,,,,,,,,,,,touch,,1 unattended object or willing creature,ally,TRUE,,,,,5 minutes,"You defy gravity and levitate the target 5 feet off the ground. For the duration of the spell, you can move the target up or down 10 feet with a single action, which has the concentrate trait. A creature floating in the air from levitate takes a -2 circumstance penalty to attack rolls. A floating creature can spend an Interact action to stabilize itself and negate this penalty for the remainder of its turn. If the target is adjacent to a fixed object or terrain of suitable stability, it can move across the surface by climbing (if the surface is vertical, like a wall) or crawling (if the surface is horizontal, such as a ceiling). The GM determines which surfaces can be climbed or crawled across.",,,,,,,,,,,,,,,,,,,,,,,,,,500,,Levitate (Caster),Levitate,caster,,500,,Levitate,Levitate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
