name,shortdesc,desc,hint,showon,abilityreq/0/ability,abilityreq/0/value,access,advancedweaponbase,data/background,data/name,effects/0/affected,effects/0/value,featreq,gainActivities/0,gainFeatChoice/0/available,gainFeatChoice/0/id,gainFeatChoice/0/level,gainFeatChoice/0/source,gainFeatChoice/0/type,gainFormulaChoice,gainLore,gainSkillChoice/0/available,gainSkillChoice/0/increases/0/locked,gainSkillChoice/0/increases/0/maxRank,gainSkillChoice/0/increases/0/name,gainSkillChoice/0/increases/0/source,gainSkillChoice/0/increases/0/sourceId,gainSkillChoice/0/maxRank,gainSkillChoice/0/source,gainSkillChoice/0/type,gainSpellChoice/0/className,gainSpellChoice/0/id,gainSpellChoice/0/source,gainSpellChoice/0/spells/0/className,gainSpellChoice/0/spells/0/locked,gainSpellChoice/0/spells/0/name,gainSpellChoice/0/spells/0/source,gainSpellChoice/0/spells/0/sourceId,gainSpellChoice/0/spells/0/tradition,gainSpellChoice/0/tradition,gainTraditionChoice/0/ability,gainTraditionChoice/0/id,gainTraditionChoice/0/maxRank,gainTraditionChoice/0/source,gainTraditionChoice/0/traditionAvailable,gainTraditionChoice/0/traditionFilter/0,gainTraditionChoice/0/traditionFilter/1,hide,internalNote,levelreq,lorebase,onceEffects/0/affected,onceEffects/0/value,skillreq/0/skill,skillreq/0/value,skillreq/1/skill,skillreq/1/value,skillreq/2/skill,skillreq/2/value,skillreq/3/skill,skillreq/3/value,skillreq/4/skill,skillreq/4/value,skillreq/5/skill,skillreq/5/value,skillreq/6/skill,skillreq/6/value,skillreq/7/skill,skillreq/7/value,specialdesc,specialreq,specialreqdesc,subType,subTypes,superType,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,unlimited
Automatic Knowledge: Medicine,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Medicine,,,,,,,,,Assurance: Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Medicine,4,,,,,,,,,,,,,,,,,,Medicine,,Automatic Knowledge,General,Skill,,,,,
Automatic Knowledge: Nature,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Nature,,,,,,,,,Assurance: Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Nature,4,,,,,,,,,,,,,,,,,,Nature,,Automatic Knowledge,General,Skill,,,,,
Automatic Knowledge: Occultism,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Occultism,,,,,,,,,Assurance: Occultism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Occultism,4,,,,,,,,,,,,,,,,,,Occultism,,Automatic Knowledge,General,Skill,,,,,
Automatic Knowledge: Occultism,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Occultism,,,,,,,,,Assurance: Occultism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Occultism,4,,,,,,,,,,,,,,,,,,Occultism,,Automatic Knowledge,General,Skill,,,,,
Automatic Knowledge: Religion,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Religion,,,,,,,,,Assurance: Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Religion,4,,,,,,,,,,,,,,,,,,Religion,,Automatic Knowledge,General,Skill,,,,,
Backup Disguise,"You have a specific disguise that you keep at the ready, worn underneath your outer garment.","You have a specific disguise that you keep at the ready, worn underneath your outer garment. You can change into this disguise to Impersonate as a 3-action activity. If you have master proficiency in Deception, it is instead a 2-action activity, and if you have legendary proficiency, it is a single action. You can create a new backup disguise by spending the normal amount of time it takes you to Impersonate, but you can have only one backup disguise at a time. Having a backup disguise doesn’t allow you to remove your armor or any other complex piece of clothing any more quickly, but once you have those off, the disguise is readily available. Because you have the backup disguise at the ready, it’s possible that a thorough search might reveal some elements of the disguise (see Conceal an Object in the Stealth skill).","You have a specific disguise that you keep at the ready, worn underneath your outer garment. You can change into this disguise to Impersonate as a 3-action activity. If you have master proficiency in Deception, it is instead a 2-action activity, and if you have legendary proficiency, it is a single action. You can create a new backup disguise by spending the normal amount of time it takes you to Impersonate, but you can have only one backup disguise at a time. Having a backup disguise doesn’t allow you to remove your armor or any other complex piece of clothing any more quickly, but once you have those off, the disguise is readily available. Because you have the backup disguise at the ready, it’s possible that a thorough search might reveal some elements of the disguise (see Conceal an Object in the Stealth skill).",Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Deception,4,,,,,,,,,,,,,,,,,,,,,General,Skill,Uncommon,,,,
Bargain Hunter,Earn Income by searching for deals.,"You can Earn Income (page 236) using Diplomacy, spending your days hunting for bargains and reselling at a profit. You can also spend time specifically sniffing out a great bargain on an item; this works as if you were using Earn Income with Diplomacy, except instead of gaining money, you purchase the item at a discount equal to the money you would have gained, gaining the item for free if your earned income equals or exceeds its cost. Finally, if you select Bargain Hunter during character creation at 1st level, you start play with an additional 2 gp.","You can Earn Income (page 236) using Diplomacy. You can also spend time specifically sniffing out a great bargain on an item; this works as if you were using Earn Income with Diplomacy, except instead of gaining money, you purchase the item at a discount equal to the money you would have gained, gaining the item for free if your earned income equals or exceeds its cost.",Diplomacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Diplomacy,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Battle Cry,Demoralizes foes when you roll for initiative.,"When you roll initiative, you can yell a mighty battle cry and Demoralize an observed foe as a free action. If you’re legendary in Intimidation, you can use a reaction to Demoralize your foe when you critically succeed at an attack roll.","When you roll initiative, you can yell a mighty battle cry and Demoralize an observed foe as a free action. If you’re legendary in Intimidation, you can use a reaction to Demoralize your foe when you critically succeed at an attack roll.","Intimidation, Perception",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,Intimidation,6,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Battle Medicine,Heal yourself or an ally in battle.,"You can patch up yourself or an adjacent ally, even in combat. Attempt a Medicine check with the same DC as for Treat Wounds, and restore a corresponding amount of Hit Points; this does not remove the wounded condition. As with Treat Wounds, you can attempt checks against higher DCs if you have the minimum proficiency rank. The target is then temporarily immune to your Battle Medicine for 1 day.","Attempt a Medicine check yourself or an adjacent ally with the same DC as for Treat Wounds, and restore a corresponding amount of Hit Points; this does not remove the wounded condition. As with Treat Wounds, you can attempt checks against higher DCs if you have the minimum proficiency rank. The target is then temporarily immune to your Battle Medicine for 1 day.",Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Medicine,2,,,,,,,,,,,,,,,,,,,,,General,Healing,Manipulate,Skill,,,
Bizarre Magic,Your magic becomes more difficult to identify.,"You can draw upon strange variations in your spellcasting, whether or not you can cast occult spells. The DCs to Recognize Spells you cast and Identify Magic you use increase by 5.",The DCs to Recognize Spells you cast and Identify Magic you use increase by 5.,"Occultism, Spell DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,Occultism,6,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Bonded Animal,An animal becomes permanently helpful to you.,"You forge strong connections with animals. You can spend 7 days of downtime trying to bond with a normal animal (not a companion or other special animal). After this duration, attempt a DC 20 Nature check. If successful, you bond with the animal. The animal is permanently helpful to you, unless you do something egregious to break your bond. A helpful animal is easier to direct, as described under Command an Animal.

Bonding with a new animal ends any previous bond you had. You can’t have both a bonded animal and an animal companion (though you can have both a bonded animal and a familiar).","You can spend 7 days of downtime trying to bond with a normal animal (not a companion or other special animal). After this duration, attempt a DC 20 Nature check. If successful, you bond with the animal. The animal is permanently helpful to you, unless you do something egregious to break your bond. A helpful animal is easier to direct, as described under Command an Animal.

Bonding with a new animal ends any previous bond you had. You can’t have both a bonded animal and an animal companion (though you can have both a bonded animal and a familiar).",Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Nature,4,,,,,,,,,,,,,,,,,No Animal Companion##########Animal Companions are not implemented yet.##########,,,,General,Downtime,Skill,,,,
Breath Control,Hold your breath longer and gain benefits against inhaled threats.,"You have incredible breath control, which grants you advantages when air is hazardous or sparse. You can hold your breath for 25 times as long as usual before suffocating. You gain a +1 circumstance bonus to saving throws against inhaled threats, such as inhaled poisons, and if you roll a success on such a saving throw, you get a critical success instead.","You can hold your breath for 25 times as long as usual before suffocating. You gain a +1 circumstance bonus to saving throws against inhaled threats, such as inhaled poisons, and if you roll a success on such a saving throw, you get a critical success instead.",Fortitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,General,,,,,,
Canny Acumen,Become an expert in a saving throw or Perception.,"Your avoidance or observation is beyond the ken of most in your profession. Choose Fortitude saves, Reflex saves, Will saves, or Perception. You become an expert in your choice. At 17th level, you become a master in your choice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,General,,,,,,
Canny Acumen: Fortitude,Become an expert in a saving throw or Perception.,"Your avoidance or observation is beyond the ken of most in your profession. Choose Fortitude saves, Reflex saves, Will saves, or Perception. You become an expert in your choice. At 17th level, you become a master in your choice.","You become an expert in Fortitude saves. At 17th level, you become a master in Fortitude saves.",,,,,,,,,,,,,,,,,,,,TRUE,4,Fortitude,Feat: Canny Acumen: Fortitude,,4,Feat: Canny Acumen: Fortitude,Save,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 6)",Fortitude < E,Fortitude,,Canny Acumen,General,,,,,,
Canny Acumen: Perception,Become an expert in a saving throw or Perception.,"Your avoidance or observation is beyond the ken of most in your profession. Choose Fortitude saves, Reflex saves, Will saves, or Perception. You become an expert in your choice. At 17th level, you become a master in your choice.","You become an expert in Perception. At 17th level, you become a master in Perception.",,,,,,,,,,,,,,,,,,,,TRUE,4,Perception,Feat: Canny Acumen: Perception,,4,Feat: Canny Acumen: Perception,Perception,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 6)",Perception < E,Perception,,Canny Acumen,General,,,,,,
Canny Acumen: Reflex,Become an expert in a saving throw or Perception.,"Your avoidance or observation is beyond the ken of most in your profession. Choose Fortitude saves, Reflex saves, Will saves, or Perception. You become an expert in your choice. At 17th level, you become a master in your choice.","You become an expert in Reflex saves. At 17th level, you become a master in Reflex saves.",,,,,,,,,,,,,,,,,,,,TRUE,4,Reflex,Feat: Canny Acumen: Reflex,,4,Feat: Canny Acumen: Reflex,Save,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 6)",Reflex < E,Reflex,,Canny Acumen,General,,,,,,
Canny Acumen: Will,Become an expert in a saving throw or Perception.,"Your avoidance or observation is beyond the ken of most in your profession. Choose Fortitude saves, Reflex saves, Will saves, or Perception. You become an expert in your choice. At 17th level, you become a master in your choice.","You become an expert in Will saves. At 17th level, you become a master in Will saves.",,,,,,,,,,,,,,,,,,,,TRUE,4,Will,Feat: Canny Acumen: Will,,4,Feat: Canny Acumen: Will,Save,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 6)",Will < E,Will,,Canny Acumen,General,,,,,,
Cat Fall,Treat falls as shorter than they are.,"Your catlike aerial acrobatics allow you to cushion your falls. Treat falls as 10 feet shorter. If you’re an expert in Acrobatics, treat falls as 25 feet shorter. If you’re a master in Acrobatics, treat them as 50 feet shorter. If you’re legendary in Acrobatics, you always land on your feet and don’t take damage, regardless of the distance of the fall.","Treat falls as 10 feet shorter. If you’re an expert in Acrobatics, treat falls as 25 feet shorter. If you’re a master in Acrobatics, treat them as 50 feet shorter. If you’re legendary in Acrobatics, you always land on your feet and don’t take damage, regardless of the distance of the fall.",Acrobatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Acrobatics,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Charming Liar,Improve a target's attitude with your lies.,"Your charm allows you to win over those you lie to. When you get a critical success using the Lie action, the target’s attitude toward you improves by one step, as though you’d succeeded at using Diplomacy to Make an Impression. This works only once per conversation, and if you critically succeed against multiple targets using the same result, you choose one creature’s attitude to improve. You must be lying to impart seemingly important information, inflate your status, or ingratiate yourself, which trivial or irrelevant lies can’t achieve.","When you get a critical success using the Lie action, the target’s attitude toward you improves by one step, as though you’d succeeded at using Diplomacy to Make an Impression. This works only once per conversation, and if you critically succeed against multiple targets using the same result, you choose one creature’s attitude to improve. You must be lying to impart seemingly important information, inflate your status, or ingratiate yourself, which trivial or irrelevant lies can’t achieve.",Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Deception,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Cloud Jump,Jump impossible distances.,"Your unparalleled athletic skill allows you to jump impossible distances. Triple the distance you Long Jump (so you could jump 60 feet on a successful DC 20 check). When you High Jump, use the calculation for a Long Jump but don’t triple the distance.

When you Long Jump or High Jump, you can also increase the number of actions you use (up to the number of actions you have remaining in your turn) to jump even further. For each extra action, add your Speed to the maximum distance you jump.","Triple the distance you Long Jump (so you could jump 60 feet on a successful DC 20 check). When you High Jump, use the calculation for a Long Jump but don’t triple the distance.

When you Long Jump or High Jump, you can also increase the number of actions you use (up to the number of actions you have remaining in your turn) to jump even further. For each extra action, add your Speed to the maximum distance you jump.","Athletics, Movement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,Athletics,8,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Combat Climber,Fight more effectively as you Climb.,Your techniques allow you to fight as you climb. You’re not flat-footed while Climbing and can Climb with a hand occupied. You must still use another hand and both legs to Climb.,You’re not flat-footed while Climbing and can Climb with a hand occupied. You must still use another hand and both legs to Climb.,Athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Athletics,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Confabulator,Reduce the bonuses against your repeated lies.,"Even when caught in falsehoods, you pile lie upon lie. Reduce the circumstance bonus a target gains for your previous attempts to Create a Diversion or Lie to it from +4 to +2. If you’re a master in Deception, reduce the bonus to +1, and if you’re legendary, your targets don’t get these bonuses at all.","Reduce the circumstance bonus a target gains for your previous attempts to Create a Diversion or Lie to it from +4 to +2. If you’re a master in Deception, reduce the bonus to +1, and if you’re legendary, your targets don’t get these bonuses at all.",Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Deception,4,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Connections,Leverage your connections for favors and meetings.,"You have social connections you can leverage to trade favors or meet important people. When you’re in an area with connections (typically a settlement where you’ve spent downtime building connections, or possibly another area in the same nation), you can attempt a Society check to arrange a meeting with an important political figure or ask for a favor in exchange for a later favor of your contact’s choice. The GM decides the DC based on the difficulty of the favor and the figure’s prominence.","When you’re in an area with connections (typically a settlement where you’ve spent downtime building connections, or possibly another area in the same nation), you can attempt a Society check to arrange a meeting with an important political figure or ask for a favor in exchange for a later favor of your contact’s choice. The GM decides the DC based on the difficulty of the favor and the figure’s prominence.",Society,,,,,,,,,Courtly Graces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Society,4,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Continual Recovery,Treat Wounds on a patient more often.,"You zealously monitor a patient’s progress to administer treatment faster. When you Treat Wounds, your patient becomes immune for only 10 minutes instead of 1 hour. This applies only to your Treat Wounds activities, not any other the patient receives.","When you Treat Wounds, your patient becomes immune for only 10 minutes instead of 1 hour. This applies only to your Treat Wounds activities, not any other the patient receives.",Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Medicine,4,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Courtly Graces,Use Society to get along in noble Society.,"You were raised among the nobility or have learned proper etiquette and bearing, allowing you to present yourself as a noble and play games of influence and politics. You can use Society to Make an Impression on a noble, as well as with Impersonate to pretend to be a noble if you aren’t one. If you want to impersonate a specific noble, you still need to use Deception to Impersonate normally, and to Lie when necessary.","You can use Society to Make an Impression on a noble, as well as with Impersonate to pretend to be a noble if you aren’t one. If you want to impersonate a specific noble, you still need to use Deception to Impersonate normally, and to Lie when necessary.",Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Society,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Craft Anything,Ignore most requirements for Crafting items.,"You can find ways to craft just about anything, despite restrictions. As long as you have the appropriate Crafting skill feat (such as Magical Crafting for magic items) and meet the item’s level and proficiency requirement, you ignore just about any other requirement, such as being of a specific ancestry or providing spells. The only exceptions are requirements that add to the item’s cost, including castings of spells that themselves have a cost, and requirements of special items such as the philosopher’s stone that have exclusive means of access and Crafting. The GM decides whether you can ignore a requirement.","As long as you have the appropriate Crafting skill feat (such as Magical Crafting for magic items) and meet the item’s level and proficiency requirement, you ignore just about any other requirement, such as being of a specific ancestry or providing spells. The only exceptions are requirements that add to the item’s cost, including castings of spells that themselves have a cost, and requirements of special items such as the philosopher’s stone that have exclusive means of access and Crafting. The GM decides whether you can ignore a requirement.",Crafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,Crafting,8,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Crane Stance,"You enter the stance of a crane, holding your arms in an imitation of a crane’s wings.","You enter the stance of a crane, holding your arms in an imitation of a crane’s wings and using flowing, defensive motions. You gain a +1 circumstance bonus to AC, but the only Strikes you can make are crane wing attacks. These deal 1d6 bludgeoning damage; are in the brawling group; and have the agile, finesse, nonlethal, and unarmed traits.

While in Crane Stance, reduce the DC for High Jump and Long Jump by 5, and when you Leap, you can move an additional 5 feet horizontally or 2 feet vertically.",,,,,,,,,,,,Crane Stance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Monk,Stance,,,,,
Death Warden Dwarf Resistance,,"If you roll a success on a saving throw against a necromancy effect, you get a critical success instead.",,Saving Throws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Elf Fire Resistance,,You gain fire resistance equal to half your level (minimum 1).,,,,,,,,,Fire Resistance,"'+'+Math.max(Math.floor(characterService.get_Character().level / 2), 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Elf Lessened Heat,,"Environmental heat effects are one step less extreme for you (incredible heat becomes extreme, extreme heat becomes severe, and so on).",,Resistances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diehard,"Die at dying 5, rather than dying 4.","It takes more to kill you than most. You die from the dying condition at dying 5, rather than dying 4.","You die from the dying condition at dying 5, rather than dying 4.",,,,,,,,Max Dying,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,General,,,,,,
Different Worlds,"Create a second identity for yourself with a different name, history, and background.","Your separate experiences in different societies have evolved into entirely separate lives. Create a second identity for yourself with a different name, history, and background. This identity must correspond to one of the ancestries whose ancestry feats you can select. You gain the trained proficiency rank in the Lore skill from the second background you chose (but you don’t gain any of the background’s other benefits), and you gain a +4 circumstance bonus to Deception checks when making a statement that would be true of your second identity or when disguising yourself as your second identity.","You gain a +4 circumstance bonus to Deception checks when making a statement that would be true of your second identity or when disguising yourself as your second identity.

At the GM’s discretion, this feat can be used against non-humanoids if they have regular contact with humanoids or you are able to disguise yourself as a member of the target’s ancestry or type of creature.",Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"At the GM’s discretion, this feat can be used against non-humanoids if they have regular contact with humanoids or you are able to disguise yourself as a member of the target’s ancestry or type of creature.",,,,,,General,Uncommon,,,,,
Divine Guidance,Find guidance in the writings of your faith.,"You’re so immersed in divine scripture that you find meaning and guidance in your texts in any situation. Spend 10 minutes Deciphering Writing on religious scriptures of your deity or philosophy while thinking about a particular problem or conundrum you face, and then attempt a Religion check (DC determined by the GM). If you succeed, you unearth a relevant passage, parable, or aphorism that can help you move forward or change your thinking to help solve your conundrum. For example, the GM might provide you with a cryptic poem or hint that can guide you to the next step of solving your problem.","Spend 10 minutes Deciphering Writing on religious scriptures of your deity or philosophy while thinking about a particular problem or conundrum you face, and then attempt a Religion check (DC determined by the GM). If you succeed, you unearth a relevant passage, parable, or aphorism that can help you move forward or change your thinking to help solve your conundrum. For example, the GM might provide you with a cryptic poem or hint that can guide you to the next step of solving your problem.",Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,Religion,8,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Dubious Knowledge,Learn true and erroneous knowledge on failed check.,"You’re a treasure trove of information, but not all of it comes from reputable sources. When you fail a Recall Knowledge check using any skill, you learn a bit of true knowledge and a bit of erroneous knowledge, but you don’t have any way to differentiate which is which.","When you fail a Recall Knowledge check using any skill, you learn a bit of true knowledge and a bit of erroneous knowledge, but you don’t have any way to differentiate which is which.","Arcana, Crafting, Lore, Medicine, Nature, Occultism, Religion, Society",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Arcana,2,Crafting,2,Lore,2,Medicine,2,Nature,2,Occultism,2,Religion,2,Society,2,,,,,,,General,Skill,,,,,
Entourage,You have a small group of admirers who tend to follow you around while you’re in civilized settlements.,"You have a small group of admirers who tend to follow you around while you’re in civilized settlements. Your admirers are helpful to you, allowing you to make simple Requests of them such as purchasing basic equipment with your funds or finding a room at an inn. These admirers do not travel with you to places that are obviously dangerous, including most adventure locations, but they’ll wait for you at the nearest settlement. Your admirers never use actions in encounter mode other than to retreat, and they abandon you if you intentionally bring them harm or at the GM’s discretion. When you Gather Information, you can use your admirers to assist you, granting a +1 circumstance bonus to your Diplomacy check and reducing the time it takes even further (typically to 30 minutes, rather than 1 hour with the Hobnobber feat alone). If you have the Sow Rumor feat, you can have your admirers assist you, with the same benefits as Gather Information.",,Diplomacy,,,,,,,,,Hobnobber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,Diplomacy,6,,,,,,,,,,,,,,,"The Firebrands use a variety of unorthodox equipment and techniques to achieve their goals, whether those goals include drawing attention, or subterfuge and subtlety. The following Firebrand options are uncommon, and members of the Firebrands gain access to them once they reach the rank of second mark. The Entourage feat is rare even for members of the Firebrands, as it requires a certain degree of fame and in-world activity to acquire, and potentially requires the player or GM to keep track of additional background NPCs. Typically, only third mark and fourth mark Firebrands have the notoriety and social influence required to maintain an entourage. While Firebrands seek to build an entourage more than most adventurers, it’s not unreasonable for any famous character to gain access to it if the players are interested in playing with the Entourage feat.",,,,,,General,Rare,Skill,,,,
Expeditious Search,Search areas in half the time.,"You have a system that lets you search at great speed, finding details and secrets twice as quickly as others can. When Searching, you take half as long as usual to Search a given area. This means that while exploring, you double the Speed you can move while ensuring you’ve Searched an area before walking into it (up to half your Speed). If you’re legendary in Perception, you instead Search areas four times as quickly.","When Searching, you take half as long as usual to Search a given area. This means that while exploring, you double the Speed you can move while ensuring you’ve Searched an area before walking into it (up to half your Speed). If you’re legendary in Perception, you instead Search areas four times as quickly.",Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,Perception,6,,,,,,,,,,,,,,,,,,,,,General,,,,,,
Experienced Professional,Prevent critical failures when Earning Income.,"You carefully safeguard your professional endeavors to prevent disaster. When you use Lore to Earn Income, if you roll a critical failure, you instead get a failure. If you’re an expert in Lore, you gain twice as much income from a failed check to Earn Income, unless it was originally a critical failure.","When you use Lore to Earn Income, if you roll a critical failure, you instead get a failure. If you’re an expert in Lore, you gain twice as much income from a failed check to Earn Income, unless it was originally a critical failure.",Lore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Lore,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
